Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
23,2,5,4,0,0,0,0,0,0,0,0,1,2,.000,.200,.000,.200,-40,0,0,0,0,0,0
24,129,486,422,67,89,16,1,30,59,1,1,59,150,.211,.315,.467,.782,99,197,6,5,0,0,1
25,137,510,428,64,102,14,3,26,61,4,3,78,140,.238,.356,.467,.823,117,200,6,1,1,2,20
26,155,610,529,82,132,29,3,38,92,2,3,70,156,.250,.339,.531,.871,122,281,6,5,0,6,5
27,59,224,191,30,36,6,0,11,24,1,0,30,66,.188,.308,.393,.701,88,75,3,3,0,0,1
28,72,303,265,42,67,9,0,25,53,1,1,31,88,.253,.340,.570,.910,145,151,4,5,0,2,1
28,41,168,134,34,39,10,0,7,18,0,0,33,39,.291,.435,.522,.957,154,70,0,1,0,0,0
22,30,99,92,15,21,3,3,3,9,1,1,6,44,.228,.276,.424,.699,83,39,0,0,1,0,0
23,40,154,139,19,33,5,1,7,19,5,2,14,55,.237,.307,.439,.746,105,61,1,0,1,0,0
24,9,20,15,2,5,1,0,0,1,1,0,4,7,.333,.450,.400,.850,132,6,0,0,0,1,0
25,16,42,38,7,8,3,0,2,7,1,0,4,4,.211,.286,.447,.733,94,17,1,0,0,0,0
26,48,136,127,12,24,6,0,1,9,1,1,8,51,.189,.237,.260,.497,32,33,1,0,1,0,0
23,101,430,405,70,129,27,7,7,40,20,4,19,98,.319,.353,.472,.824,130,191,3,3,2,1,0
24,91,277,261,30,56,10,5,0,21,8,4,6,68,.215,.241,.291,.532,46,76,7,3,7,0,1
25,75,248,233,29,56,10,2,2,14,12,9,12,55,.240,.279,.326,.606,64,76,1,1,1,1,0
26,13,26,25,3,5,1,0,1,1,1,0,1,8,.200,.231,.360,.591,55,9,1,0,0,0,0
26,69,152,143,16,29,9,2,3,22,6,0,7,33,.203,.245,.357,.602,55,51,2,1,1,0,1
27,15,32,28,4,5,3,0,0,2,1,1,3,11,.179,.281,.286,.567,54,8,0,1,0,0,0
28,130,511,474,81,134,23,6,28,81,21,6,25,151,.283,.324,.534,.857,112,253,8,6,0,5,2
29,15,63,55,6,8,4,0,1,7,2,0,7,24,.145,.238,.273,.511,41,15,1,0,0,1,0
30,38,127,116,15,21,2,1,5,14,4,2,10,30,.181,.252,.345,.597,57,40,0,1,0,0,0
24,33,112,107,17,23,3,2,2,10,2,1,4,40,.215,.241,.336,.578,51,36,1,0,0,1,0
23,95,382,347,46,88,10,1,18,58,2,1,31,127,.254,.322,.444,.766,96,154,11,4,0,0,2
24,42,158,146,16,31,5,2,5,19,3,0,8,50,.212,.259,.377,.636,67,55,6,2,0,2,0
25,31,82,79,12,15,4,1,2,6,1,1,1,32,.190,.207,.342,.549,42,27,2,1,0,1,0
25,12,42,42,4,15,3,0,1,5,0,1,0,10,.357,.357,.500,.857,130,21,2,0,0,0,0
21,25,80,72,8,18,2,0,1,9,0,0,8,21,.250,.325,.319,.644,73,23,0,0,0,0,0
22,28,75,65,9,12,3,0,3,8,0,0,8,15,.185,.274,.369,.643,69,24,2,0,2,0,0
21,10,6,6,3,2,0,0,0,0,0,0,0,2,.333,.333,.333,.667,81,2,0,0,0,0,0
22,25,77,68,5,8,2,0,1,2,1,0,4,16,.118,.200,.191,.391,7,13,2,3,2,0,0
23,109,382,350,39,106,16,2,3,29,5,2,15,60,.303,.349,.386,.735,101,135,7,11,4,2,0
23,63,234,215,27,71,10,2,1,19,3,1,11,30,.330,.376,.409,.785,115,88,4,6,0,2,0
23,46,148,135,12,35,6,0,2,10,2,1,4,30,.259,.306,.348,.654,78,47,3,5,4,0,0
25,120,454,416,44,125,17,3,2,23,11,8,25,44,.300,.347,.370,.717,99,154,10,6,4,3,2
26,137,513,467,57,119,26,0,4,32,7,4,28,50,.255,.306,.336,.643,74,157,12,8,7,3,1
27,130,489,463,56,118,33,1,6,54,7,4,21,65,.255,.288,.369,.657,74,171,6,1,3,1,0
28,125,464,432,43,116,31,3,5,48,15,6,19,47,.269,.310,.389,.699,88,168,11,8,3,2,0
29,146,530,504,62,145,21,3,11,59,6,6,20,70,.288,.318,.407,.724,83,205,17,3,1,2,3
30,39,150,142,16,53,17,0,3,24,0,0,3,17,.373,.400,.556,.956,157,79,1,4,0,1,0
31,137,511,483,65,131,27,2,9,48,5,2,21,75,.271,.309,.391,.701,90,189,10,6,0,1,0
31,114,447,424,57,110,23,1,8,41,5,2,18,66,.259,.295,.375,.670,82,159,10,4,0,1,0
31,23,64,59,8,21,4,1,1,7,0,0,3,9,.356,.406,.508,.915,142,30,0,2,0,0,0
